﻿鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
林口區,房地(土地+建物)+車位,新北市林口區文化二路二段與信義路交叉口,15.6,住,,,1110725,土地4建物1車位1,三層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.15,3,2,2,有,無,17050000,131084,坡道平面,31.39,2400000,,RPPNMLKKQHHGFBF67DB,潤鴻日麗,A棟2-03F號
三重區,房地(土地+建物)+車位,新北市三重區疏洪東路一段,11.62,住,,,1110724,土地5建物1車位1,十層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,102.37,3,2,1,有,無,17620000,202097,坡道平面,26.07,2200000,,RPPNMLKKQHHGFGF08CB,漾漾Taipei,B棟3號
三重區,房地(土地+建物)+車位,新北市三重區疏洪東路一段,12.36,住,,,1110731,土地5建物1車位1,六層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,107.39,3,1,1,有,無,17850000,193064,坡道平面,26.07,2150000,,RPRNMLKKQHHGFGF28CB,漾漾Taipei,B棟1號
三重區,房地(土地+建物)+車位,新北市三重區疏洪東路一段,11.62,住,,,1110730,土地5建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,102.37,3,2,1,有,無,17580000,201573,坡道平面,26.07,2200000,,RPSNMLKKQHHGFGF38CB,漾漾Taipei,B棟3號
三重區,房地(土地+建物),新北市三重區中正南路250巷,13.51,住,,,1110728,土地1建物1車位0,二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,73.7,2,1,1,有,無,15550000,210991,,0.0,0,,RPUNMLKKQHHGFGF58CB,新美齊The Top,A棟A7-2F號
三重區,房地(土地+建物)+車位,新北市三重區竹圍仔街,14.36,住,,,1110723,土地7建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.93,3,2,2,有,無,22090000,200659,坡道平面,22.8,2600000,,RPPNMLLKQHHGFGF18CB,米蘭花園,A11-09F號
三重區,房地(土地+建物)+車位,新北市三重區竹圍仔街,14.36,住,,,1110727,土地7建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.08,3,2,2,有,無,22030000,202100,坡道平面,20.95,2400000,,RPQNMLLKQHHGFGF28CB,米蘭花園,A11-14F號
三重區,房地(土地+建物)+車位,新北市三重區中正南路250巷,13.82,住,,,1110725,土地1建物1車位1,五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.58,2,1,1,有,無,18200000,213026,坡道平面,32.88,2500000,,RPTNMLLKQHHGFGF58CB,新美齊The Top,A棟A7-5F號
三峽區,房地(土地+建物),新北市三峽區中園街5號旁,15.52,住,,,1110729,土地3建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,75.15,0,0,1,有,無,8120000,108051,,0.0,0,,RPTNMLLKQHHGFIF78CB,心家家,H棟9-2號
三峽區,房地(土地+建物),新北市三峽區中園街5號旁,15.52,住,,,1110729,土地3建物1車位0,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,75.15,0,0,1,有,無,8160000,108583,,0.0,0,,RPUNMLLKQHHGFIF88CB,心家家,H棟10-2號
新店區,房地(土地+建物),新北市新店區溪園路,19.57,住,,,1110725,土地11建物1車位0,七層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,119.1,3,2,2,有,無,22250000,186818,,0.0,0,交易總價含下列非屬預售屋價格之費用:含裝潢費；含傢俱設備費；,RPPNMLLKQHHGFCF77CB,湯泉美景,A棟1號
泰山區,房地(土地+建物)+車位,新北市泰山區莊泰路,19.17,住,,,1110729,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,132.71,3,2,2,有,無,18150000,155833,坡道平面,31.64,2400000,總價含家電,RPPNMLLKQHHGFBF67CB,文華?,A03-03F號
板橋區,房地(土地+建物)+車位,新北市板橋區華江九路,13.12,商,,,1110724,土地3建物1車位1,十九層,19,辦公商業大樓,商業用,鋼筋混凝土造,,140.1,0,0,0,無,無,20940000,155013,坡道平面,20.82,2450000,,RPXNMLLKQHHGFAF38CB,帝景5號,B棟02號
淡水區,房地(土地+建物),新北市淡水區中正東路2段5巷,13.37,住,,,1110730,土地16建物1車位0,十八層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,75.5,2,1,1,有,無,9000000,119205,,0.0,0,交易總價含下列非屬預售屋價格之費用:含裝潢費；含傢俱設備費；,RPPNMLLKQHHGFEF97CB,湯泉紅樹林,B棟B5-18F號
淡水區,房地(土地+建物),新北市淡水區中正東路2段5巷,13.37,住,,,1110731,土地16建物1車位0,十六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,75.5,2,1,1,有,無,8800000,116556,,0.0,0,交易總價含下列非屬預售屋價格之費用:含裝潢費；含傢俱設備費；,RPQNMLLKQHHGFEF08CB,湯泉紅樹林,B棟B5-16F號
淡水區,房地(土地+建物)+車位,新北市淡水區中正東路2段5巷,13.37,住,,,1110731,土地16建物1車位1,十六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.97,2,1,1,有,無,10200000,116556,坡道平面,31.47,1400000,交易總價含下列非屬預售屋價格之費用:含裝潢費；含傢俱設備費；,RPRNMLLKQHHGFEF18CB,湯泉紅樹林,B棟B3-16F號
