鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,24.59,住,,,1110823,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,177.62,4,2,2,有,無,27780000,178117,坡道平面,35.41,2450000,,RPQOMLPKRHHGFAF28CB,東瑩日光,B棟7-7F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,24.59,住,,,1110821,土地1建物1車位2,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,213.03,4,2,2,有,無,30770000,178398,坡道平面,70.82,5400000,,RPROMLPKRHHGFAF38CB,東瑩日光,B棟7-8F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,24.59,住,,,1110822,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,177.62,4,2,2,有,無,27800000,178609,坡道平面,35.41,2400000,,RPSOMLPKRHHGFAF48CB,東瑩日光,B棟7-9F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,19.07,住,,,1110824,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.44,3,2,2,有,無,22710000,181573,坡道平面,35.41,2550000,,RPTOMLPKRHHGFAF58CB,東瑩日光,A棟2-15F號
泰山區,房地(土地+建物)+車位,新北市泰山區新北大道五段及幸福路交叉口,10.54,商,,,1110827,土地1建物1車位1,八層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.41,2,1,2,有,無,15900000,158159,坡道平面,27.84,2050000,,RPSNMLPKRHHGFBF48CB,新潤A5 II 大道鎏域,A棟3號
泰山區,房地(土地+建物)+車位,新北市泰山區新北大道五段及幸福路交叉口,10.54,商,,,1110821,土地1建物1車位1,十六層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.32,2,1,2,有,無,15950000,158893,坡道平面,27.84,2050000,,RPUNMLPKRHHGFBF68CB,新潤A5 II 大道鎏域,B棟1號
三重區,房地(土地+建物)+車位,新北市三重區疏洪東路一段,16.41,住,,,1110830,土地5建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,134.4,3,2,2,有,無,24270000,204652,坡道平面,26.07,2100000,,RPPNMLPKRHHGFGF68CB,漾漾Taipei,B棟5號
三重區,房地(土地+建物)+車位,新北市三重區疏洪東路一段,13.65,住,,,1110828,土地5建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,116.32,3,2,2,有,無,20060000,199003,坡道平面,26.07,2100000,,RPQNMLPKRHHGFGF78CB,漾漾Taipei,B棟2號
三重區,房地(土地+建物)+車位,新北市三重區疏洪東路一段,16.23,住,,,1110828,土地5建物1車位1,十層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,134.4,3,2,2,有,無,24780000,207053,坡道平面,26.07,2350000,,RPRNMLPKRHHGFGF88CB,漾漾Taipei,A棟5號
三重區,房地(土地+建物)+車位,新北市三重區疏洪東路一段,16.41,住,,,1110822,土地5建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,134.4,3,2,2,有,無,24310000,204099,坡道平面,26.07,2200000,,RPSNMLPKRHHGFGF98CB,漾漾Taipei,B棟5號
三重區,房地(土地+建物)+車位,新北市三重區疏洪東路一段,14.39,住,,,1110827,土地5建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,120.87,3,2,2,有,無,20850000,197785,坡道平面,26.07,2100000,,RPUNMLPKRHHGFGF56CB,漾漾Taipei,A棟2號
三重區,房地(土地+建物)+車位,新北市三重區中正南路250巷,13.82,住,,,1110823,土地1建物1車位1,八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.37,2,1,1,有,無,18380000,217445,坡道平面,32.88,2400000,,RPWNMLPKRHHGFGF76CB,新美齊The Top,A棟A4-8F號
三重區,房地(土地+建物)+車位,新北市三重區中正南路250巷,17.2,住,,,1110831,土地1建物1車位1,二十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.21,2,2,1,有,無,22680000,220957,坡道平面,32.88,2500000,,RPOOMLPKRHHGFGF68CB,新美齊The Top,A棟A8-24F號
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段99巷新市段217地號,21.88,住,,,1110831,土地1建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.99,3,2,2,有,無,12300000,91039,坡道平面,30.36,1500000,,RPPNMLPKRHHGFEF48CB,新市二丁目,B棟B5-02F號
八里區,房地(土地+建物)+車位,新北市八里區龍形三街,17.75,住,,,1110825,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.18,2,2,1,有,無,10180000,96075,坡道平面,24.64,2250000,,RPPNMLQKRHHGFEF58CB,勤樸天闊,A棟1號
八里區,房地(土地+建物)+車位,新北市八里區龍形三街,18.42,住,,,1110825,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.4,3,2,1,有,無,10050000,92785,坡道平面,24.64,2000000,,RPQNMLQKRHHGFEF68CB,勤樸天闊,C棟7號
八里區,房地(土地+建物)+車位,新北市八里區龍形三街,12.64,住,,,1110827,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,83.56,2,1,1,有,無,7820000,95384,坡道平面,24.64,2200000,,RPRNMLQKRHHGFEF78CB,勤樸天闊,C棟5號
汐止區,房地(土地+建物)+車位,新北市汐止區新臺五路二段238巷,10.99,住,,,1110826,土地2建物1車位1,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,95.65,1,1,1,有,無,9500000,126029,坡道平面,36.14,2000000,,RPPNMLQKRHHGFDF48CB,星野之森-沐松,B棟21號
